label,filepath
Fighting,Data/Trimmed-Videos/Fighting/Fighting004_x264_0_171.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary053_x264_0_1.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary083_x264_0_9.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents140_x264_1_2.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting041_x264_0_11.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents037_x264_0_0.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion010_x264_0_32.mp4
Assault,Data/Trimmed-Videos/Assault/Assault003_x264_0_49.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery051_x264_0_17.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Burglary005_x264_0_34.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting048_x264_0_5.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion046_x264_1_1060.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary035_x264_0_50.mp4
Assault,Data/Trimmed-Videos/Assault/Assault025_x264_0_0.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery075_x264_0_0.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion044_x264_0_0.mp4
Arson,Data/Trimmed-Videos/Arson/Arson039_x264_1_4.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary020_x264_0_14.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery135_x264_1_11.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery100_x264_0_2.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery014_x264_1_22.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery111_x264_0_31.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion046_x264_1_1269.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary004_x264_0_9.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary095_x264_0_12.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion022_x264_0_29.mp4
RoadAccidents,Data/Trimmed-Videos/RoadAccidents/RoadAccidents147_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents092_x264_0_8.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery127_x264_0_5.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting009_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents098_x264_0_9.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery045_x264_1_13.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery100_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting045_x264_1_1.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting032_x264_0_1.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary046_x264_0_27.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting041_x264_0_225.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery080_x264_1_4.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery096_x264_0_18.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary062_x264_0_130.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion002_x264_0_0.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse014_x264_1_11.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery073_x264_0_43.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse031_x264_0_6.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting026_x264_0_18.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault014_x264_1_7.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary045_x264_0_126.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary072_x264_0_13.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting046_x264_1_25.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery088_x264_0_7.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery021_x264_0_81.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting047_x264_1_6.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse037_x264_0_3.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion040_x264_0_2.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse049_x264_1_4.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery100_x264_1_2.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson015_x264_1_11.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery063_x264_1_1.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary064_x264_0_621.mp4
Arson,Data/Trimmed-Videos/Arson/Arson040_x264_0_0.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery016_x264_0_7.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse004_x264_1_3.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery090_x264_1_24.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting031_x264_1_65.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Burglary079_x264_0_8.mp4
RoadAccidents,Data/Trimmed-Videos/RoadAccidents/RoadAccidents006_x264_0_1.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery024_x264_0_25.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion046_x264_1_66.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery094_x264_0_12.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting004_x264_0_0.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary064_x264_0_253.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting020_x264_0_31.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Burglary039_x264_0_38.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery143_x264_0_1.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion007_x264_0_72.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery098_x264_1_47.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson002_x264_0_22.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Burglary006_x264_0_54.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary021_x264_0_17.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting041_x264_0_15.mp4
Assault,Data/Trimmed-Videos/Assault/Assault006_x264_0_22.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery149_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson013_x264_0_7.mp4
Arson,Data/Trimmed-Videos/Arson/Arson007_x264_0_18.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse045_x264_0_64.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery077_x264_0_2.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary012_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting019_x264_1_2.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary095_x264_0_294.mp4
Arson,Data/Trimmed-Videos/Arson/Arson006_x264_0_7.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary096_x264_0_21.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion007_x264_0_53.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting025_x264_0_6.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary023_x264_0_126.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting018_x264_0_21.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery145_x264_0_4.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion013_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault027_x264_0_34.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting050_x264_0_33.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery072_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson019_x264_1_1500.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion048_x264_0_1.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion038_x264_0_18.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting007_x264_0_3.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery100_x264_0_44.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary076_x264_0_19.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary010_x264_0_24.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion007_x264_0_76.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery007_x264_1_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault016_x264_2_4.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson019_x264_1_545.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery006_x264_0_1.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary020_x264_0_27.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents105_x264_1_24.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary031_x264_0_0.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery124_x264_0_82.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion046_x264_1_993.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents148_x264_0_88.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting032_x264_0_44.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson019_x264_1_1425.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery073_x264_0_12.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery102_x264_0_3.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery107_x264_0_0.mp4
Assault,Data/Trimmed-Videos/Assault/Assault046_x264_0_3.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse042_x264_0_13.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion046_x264_1_398.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary073_x264_0_17.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting008_x264_1_87.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting038_x264_0_6.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary032_x264_0_75.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse032_x264_2_28.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary083_x264_0_31.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting047_x264_0_5.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary064_x264_0_568.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion041_x264_0_35.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting008_x264_1_100.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting045_x264_0_11.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery055_x264_1_70.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery140_x264_0_0.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary065_x264_0_79.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary032_x264_0_72.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting050_x264_0_64.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents142_x264_1_10.mp4
Assault,Data/Trimmed-Videos/Assault/Assault004_x264_0_30.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery009_x264_0_28.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault047_x264_0_5.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary076_x264_0_12.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery081_x264_0_51.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery014_x264_0_50.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion046_x264_1_1059.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary069_x264_0_20.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse043_x264_1_15.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary095_x264_0_338.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting_7_0_14.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery085_x264_0_3.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting050_x264_1_83.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting050_x264_1_46.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting_2_0_7.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault042_x264_1_85.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents063_x264_0_5.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting012_x264_0_4.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery150_x264_0_12.mp4
Assault,Data/Trimmed-Videos/Assault/Assault002_x264_0_22.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary058_x264_0_70.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting017_x264_0_11.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary015_x264_0_7.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting015_x264_0_3.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse042_x264_1_312.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting022_x264_0_20.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Burglary039_x264_0_4.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Burglary095_x264_0_28.mp4
Arson,Data/Trimmed-Videos/Arson/Arson046_x264_0_14.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents145_x264_1_0.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary057_x264_0_29.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary052_x264_0_75.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary064_x264_0_286.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary035_x264_0_39.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting006_x264_0_40.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion026_x264_0_18.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion007_x264_0_55.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion046_x264_0_55.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary042_x264_0_10.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse042_x264_1_179.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary089_x264_0_9.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery125_x264_1_5.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary035_x264_0_7.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents119_x264_0_2.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse013_x264_2_1.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery082_x264_0_21.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery071_x264_1_1.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting045_x264_0_2.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary081_x264_0_2.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting041_x264_0_66.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery047_x264_0_5.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting027_x264_0_9.mp4
Arson,Data/Trimmed-Videos/Arson/Arson014_x264_0_13.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary056_x264_0_3.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary052_x264_0_56.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents148_x264_0_102.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson019_x264_1_1497.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery021_x264_1_12.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery006_x264_0_2.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents006_x264_0_12.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting041_x264_0_233.mp4
Arson,Data/Trimmed-Videos/Arson/Arson011_x264_0_1.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery126_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion029_x264_0_6.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary064_x264_0_341.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting050_x264_0_11.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary007_x264_0_11.mp4
RoadAccidents,Data/Trimmed-Videos/RoadAccidents/RoadAccidents020_x264_0_0.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery146_x264_0_7.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary062_x264_0_116.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting026_x264_0_10.mp4
Arson,Data/Trimmed-Videos/Arson/Arson027_x264_0_10.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery098_x264_0_106.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion030_x264_0_16.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery128_x264_1_23.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting020_x264_0_11.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery116_x264_0_1.mp4
Assault,Data/Trimmed-Videos/Assault/Assault009_x264_0_7.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting005_x264_0_7.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary072_x264_0_25.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary001_x264_0_43.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery107_x264_0_6.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting036_x264_0_15.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting_1_1_1.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary064_x264_0_381.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse036_x264_1_42.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary076_x264_0_44.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery142_x264_0_32.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery142_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion015_x264_0_3.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting006_x264_0_6.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary095_x264_0_305.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting029_x264_0_2.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion007_x264_0_38.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting013_x264_0_14.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse050_x264_2_17.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting048_x264_0_4.mp4
Assault,Data/Trimmed-Videos/Assault/Assault008_x264_0_18.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault018_x264_0_1.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting039_x264_0_47.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents072_x264_0_0.mp4
RoadAccidents,Data/Trimmed-Videos/RoadAccidents/RoadAccidents113_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson019_x264_1_1479.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery135_x264_0_15.mp4
Assault,Data/Trimmed-Videos/Assault/Assault006_x264_0_25.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse039_x264_0_62.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary012_x264_0_13.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary097_x264_0_3.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary081_x264_0_3.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting042_x264_0_14.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting011_x264_0_23.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse035_x264_0_6.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary023_x264_0_141.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion036_x264_1_20.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse012_x264_3_26.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery059_x264_0_45.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting043_x264_0_4.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting024_x264_0_33.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary014_x264_0_9.mp4
Assault,Data/Trimmed-Videos/Assault/Assault004_x264_0_17.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery116_x264_0_1.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting011_x264_0_19.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson019_x264_1_1026.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents097_x264_1_17.mp4
